"","PROFITS","CREDIT SCORE","RISK PROFILE","ADDED VALUE","FRUGALITY","CLIMATE PROTECTION","LEGAL","TRUST","SAFETY","COST-EFFICIENCY","KNOWLEDGE","OWN COMPETENCE","TECHNICAL FIT","ENVIRONMENTAL CONCERNS","SELF-SATISFACTION","COMMITMENT","ADHERENCE","AUTARKY","WELLBEING","COZINESS","RIGHTS AND DUTIES","PEER-PRESSURE","SUPPORT","SOCIALISING","AGREEMENT","NOVELTY","FUN","RECOGNITION","TRENDS","AUTHORITY","OWN SIGNIFICANCE","APPROVAL"
"expert_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"expert_2",0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0
"expert_3",0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"expert_4",0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"expert_5",0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"expert_6",0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0
"expert_7",0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0
"expert_8",1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"expert_9",0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
