"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Careful",769736,9.6217
2,"Fearful",6025,0.0753125
3,"Stubborn",654,0.008175
4,"Homo Economicus",69,0.0008625
5,"Early Adopter",0,0
6,"Influencer",0,0
7,"Uninterested",0,0
