analysis_sample,matrix_name,matrix,h,p,coverage_kmeans,coverage_efa,mean_signature_size_kmeans,mean_signature_size_efa,mean_km_efa_overlap,median_km_efa_overlap,mean_km_efa_jaccard,median_km_efa_jaccard,mean_km_expert_jaccard_hungarian,mean_km_expert_best_jaccard,mean_efa_expert_jaccard_hungarian,mean_efa_expert_best_jaccard,n_km_efa_overlap_ge_50,n_km_expert_jaccard_ge_50,n_efa_expert_jaccard_ge_50
COMPLETE,matrix_32_raw_0_1,RAW,5,6,81.25934523809293,47.16407738095062,10.833333333333334,10.166666666666666,58.232970732970735,56.64335664335664,43.36212262682851,43.30065359477124,41.00783475783476,46.85638435638435,30.803586391821685,35.33984533984534,3,3,0
COMPLETE,matrix_32_raw_0_1,RAW,5,7,85.04398809523568,54.018928571426535,11.428571428571429,10.428571428571429,56.234321234321236,53.333333333333336,42.88181939442444,50,41.796398046398046,47.30547230547231,30.4847067031941,34.37292865864295,4,4,0
COMPLETE,matrix_32_raw_0_1,RAW,5,8,87.09336309523563,56.13916666666455,11.125,10.875,61.010586635586634,64.16666666666667,44.47447096247406,51.315789473684205,39.69684829059829,46.19998057498057,29.72967392085039,34.48807728219493,5,4,0
COMPLETE,matrix_32_raw_0_1,RAW,6,4,77.23610119047375,43.19169642856986,10.25,9.75,59.02777777777778,55.55555555555556,43.52564102564103,48.71794871794872,48.263888888888886,49.30555555555556,35.47008547008547,35.47008547008547,2,3,1
COMPLETE,matrix_32_raw_0_1,RAW,6,5,82.46294642856881,52.15273809523636,10.6,9.6,56.388888888888886,37.5,40.904761904761905,25,43.31699346405229,45.69444444444444,34.2002442002442,36.376068376068375,2,3,1
COMPLETE,matrix_32_raw_0_1,RAW,6,6,90.69184523809244,60.29172619047414,11,10,52.11894586894587,35.41666666666667,37.26190476190476,23.214285714285715,43.7898022456846,45.771011396011396,33.262108262108264,35.075295075295074,2,3,1
COMPLETE,matrix_32_raw_0_1,RAW,6,7,91.92360119047336,62.4516964285693,11.571428571428571,10.714285714285714,55.50671550671551,46.666666666666664,40.618093391202635,41.1764705882353,44.172771672771674,46.37515262515262,31.871723048193637,34.82644339787197,3,4,1
COMPLETE,matrix_32_raw_0_1,RAW,6,8,92.6948214285686,68.52639880952137,11.125,11.25,59.50587606837607,56.25,42.882101558572145,40.58823529411765,42.06026612276612,45.78659188034188,30.38775766716943,34.37938797313797,5,4,1
COMPLETE,matrix_32_raw_0_1,RAW,7,4,86.40255952380677,60.13919642856953,10,8.25,46.73611111111111,42.08333333333333,37.13477698771816,32.126696832579185,49.22542735042735,50.26709401709402,32.97008547008547,32.97008547008547,1,3,0
COMPLETE,matrix_32_raw_0_1,RAW,7,5,90.07133928571143,69.40196428571205,10.6,9,44.70940170940171,37.5,33.778783308195074,23.529411764705884,45.26269482151835,46.09602815485168,32.09035409035409,32.09035409035409,1,3,0
COMPLETE,matrix_32_raw_0_1,RAW,7,6,97.64330357142552,77.17032738094991,11,10,47.66381766381766,42.08333333333333,34.101367042543515,25.65359477124183,42.16335679570974,44.82361320596615,31.127926654242444,31.950295075295074,2,3,0
COMPLETE,matrix_32_raw_0_1,RAW,7,7,98.17279761904452,81.23580357142592,11.571428571428571,10.571428571428571,45.61660561660562,37.5,32.81250961923231,23.529411764705884,41.85430582489406,44.134525605113836,28.425883173782335,30.39348600438826,2,3,0
COMPLETE,matrix_32_raw_0_1,RAW,7,8,98.72919642856834,86.76208333333045,12,10.25,42.414529914529915,35.41666666666667,30.82533515078272,26.050420168067227,38.70585093011564,42.18913847590318,25.680032471828138,27.983189142728616,2,3,0
COMPLETE,matrix_32_raw_0_1,RAW,8,4,94.11985119047316,65.10660714285449,11.25,8.25,46.76816239316239,37.980769230769226,37.614087301587304,29.51388888888889,43.11683006535948,44.158496732026144,32.97008547008547,32.97008547008547,1,2,0
COMPLETE,matrix_32_raw_0_1,RAW,8,5,98.79437499999682,75.51324404761611,11.8,9,43.12881562881563,37.5,33.727633477633475,27.77777777777778,41.16013071895425,42.46965452847806,32.09035409035409,32.09035409035409,1,2,0
COMPLETE,matrix_32_raw_0_1,RAW,8,6,99.36502976190154,83.9079166666635,11.166666666666666,10,48.57956857956858,42.56410256410256,35.78495714525126,34.67261904761905,41.44296607531901,42.534235916588855,31.127926654242444,31.950295075295074,2,2,0
COMPLETE,matrix_32_raw_0_1,RAW,8,7,99.51458333333012,87.0908630952348,11.714285714285714,10.571428571428571,46.401534972963546,38.46153846153846,33.791764957731345,31.25,40.97222222222222,43.60077364279045,28.425883173782335,30.39348600438826,2,3,0
COMPLETE,matrix_32_raw_0_1,RAW,8,8,99.67098214285392,92.1819047619013,11.75,10.375,44.351343101343105,42.56410256410256,32.65220992243051,32.29166666666667,39.42212301587302,41.99683078359549,25.61135115314682,27.91008972752394,3,3,0
COMPLETE,matrix_32_pos_0_1,POS,4,5,78.7174107142837,41.06851190476028,12.2,10.8,44.53030303030303,40,33.021929824561404,25,49.52813852813853,55.52813852813853,30.089869281045754,34.22825540472599,2,3,0
COMPLETE,matrix_32_pos_0_1,POS,4,6,84.89937499999782,42.2031547619031,11.5,10.333333333333334,40.303030303030305,30,30.44486215538847,30.357142857142858,46.96789321789322,55.364357864357864,28.319522253345784,32.094974742033564,2,3,0
COMPLETE,matrix_32_pos_0_1,POS,4,7,87.93883928571202,47.89809523809331,11.285714285714286,10.428571428571429,47.44588744588744,45.45454545454545,36.72484783387039,35.714285714285715,45.43301936159079,56.026592455163886,30.396325196745366,33.75997835031448,3,3,0
COMPLETE,matrix_32_pos_0_1,POS,4,8,89.20782738095009,51.29029761904556,11.125,10.125,44.81060606060606,40,34.522634711779446,26.785714285714285,41.62889194139194,56.314935064935064,27.449853047279518,31.623314389858507,3,4,0
COMPLETE,matrix_32_pos_0_1,POS,5,4,85.66124999999776,44.24827380952211,11.5,10.25,52.32954545454545,60.90909090909091,38.64583333333333,40.625,52.204290807231985,54.41017316017316,32.92483660130719,33.169934640522875,2,2,0
COMPLETE,matrix_32_pos_0_1,POS,5,5,89.8879166666643,47.77622023809341,10.8,11.2,46.86363636363636,40,33.916666666666664,25,49.263432645785585,54.43722943722944,29.947712418300654,33.20261437908497,2,2,0
COMPLETE,matrix_32_pos_0_1,POS,5,6,91.85797619047378,48.72806547618861,10.833333333333334,10.666666666666666,43.598484848484844,33.63636363636364,31.38888888888889,21.875,45.94225219225219,54.33871683871684,27.97230003112356,31.240273887332712,2,3,0
COMPLETE,matrix_32_pos_0_1,POS,5,7,93.37306547618805,56.41458333333124,11.285714285714286,10.714285714285714,47.94526901669759,40,36.22269960615825,35.714285714285715,42.95050187907331,54.13906821469847,30.09870614912632,33.02737761771375,3,3,0
COMPLETE,matrix_32_pos_0_1,POS,5,8,93.74071428571185,60.884017857140584,10.875,10.375,47.67451298701299,42.72727272727273,34.57947754000386,30.357142857142858,40.75877247752248,52.728827545004016,27.18943638061285,30.982288748832868,3,3,0
COMPLETE,matrix_32_pos_0_1,POS,6,4,93.53127976190264,53.07351190475988,12,10.25,52.32954545454545,60.90909090909091,37.951388888888886,39.236111111111114,52.624458874458874,52.624458874458874,32.92483660130719,33.169934640522875,2,3,0
COMPLETE,matrix_32_pos_0_1,POS,6,5,95.4937797619026,55.2485119047598,12.6,11.2,46.53030303030303,40,35.97549019607843,35.294117647058826,49.8495670995671,55.8495670995671,29.947712418300654,33.20261437908497,2,3,0
COMPLETE,matrix_32_pos_0_1,POS,6,6,96.20660714285496,64.87330357142632,11.833333333333334,11.166666666666666,52.346681096681095,60.714285714285715,41.09068627450981,45.77205882352941,48.20797258297259,53.68416305916306,32.099284158107686,34.96051198257081,4,3,0
COMPLETE,matrix_32_pos_0_1,POS,6,7,96.84833333333114,70.18729166666418,12.285714285714286,10.714285714285714,49.27334570191713,40,38.572236586942466,35.294117647058826,44.68246389464877,51.89734984903052,29.69854608510071,32.347105508870214,3,3,0
