matrix,h,p,n_samples,mean_coverage_kmeans,min_coverage_kmeans,mean_coverage_efa,min_coverage_efa,mean_km_efa_overlap,mean_km_efa_jaccard,mean_km_expert_jaccard,mean_efa_expert_jaccard
RAW,2,4,7,12.571717687074463,2.444345238094737,13.436857993196863,2.428184523809223,48.13339438339438,36.67595942806027,40.829995076180396,30.381532566406516
RAW,2,5,7,15.750786564625397,2.718720238094681,15.011305272108384,2.531071428571115,50.52419802419802,37.63135746262681,38.03742491966729,29.97722818731222
RAW,2,6,7,18.20683673469336,2.857321428570843,16.85508078231241,2.609315476190153,54.50622789908504,40.54921393985967,35.922745749426426,29.21863034257992
RAW,2,7,7,20.776857993196696,2.984345238094627,18.199285714285164,2.793511904761559,56.23461006114067,42.00739219144064,34.950215017742025,28.96414676426681
RAW,2,8,7,23.101326530611598,3.2830654761898037,19.199744897958606,2.9065178571424974,55.82704497883069,42.34187152588495,34.664175402095566,27.876021912261407
RAW,3,4,7,24.174876700679587,5.160029761903716,19.607818877550407,3.87386904761857,45.50109612609613,34.29566167652192,41.47186147186147,31.219261888904747
RAW,3,5,7,28.852657312924354,5.687321428570275,21.490233843536746,4.066815476189975,50.56249306249306,37.13210861574417,38.38086620981358,31.76099693956837
RAW,3,6,7,33.14459183673376,5.806666666665488,24.126390306121706,4.180505952380437,53.58694876552019,38.96957050926533,36.84923231141718,30.963391766963195
RAW,3,7,7,36.437831632652035,6.044732142855917,25.886228741495803,4.3895833333327925,55.03047406108631,40.84486874926849,36.10712070551269,30.75545486259772
RAW,3,8,7,40.268932823128125,6.369761904760612,28.539829931971905,4.509761904761348,53.75820112427255,40.661868660427636,35.49573988594334,29.845816385994958
RAW,4,4,7,39.172032312924074,9.62455357142662,26.5435076530604,6.30895833333249,47.50386518243661,35.84521165845801,39.95564892623716,31.658562609192863
RAW,4,5,7,45.681067176869504,9.80544642856944,29.191288265305218,6.9367559523800315,52.630520273377414,38.948114357999366,39.99328449328449,33.415261675765876
RAW,4,6,7,51.89383928571287,10.46988095237883,32.579026360543196,7.09720238095144,51.72855583569869,38.691424050501894,38.393742695213284,32.847097269366174
RAW,4,7,7,55.12906887754949,11.385089285711976,35.455038265305,7.48312499999901,51.273426120364896,38.39566349449365,36.71332369111481,31.191202754828204
RAW,4,8,7,58.38254676870587,12.017886904759465,38.00863945578112,7.618928571427565,51.78353392639107,38.72131976793907,36.04343587668168,29.878002920282334
RAW,5,4,7,53.58946428571257,14.754107142853895,32.89455782312823,9.19116071428456,45.46746903889761,33.90143376391165,41.52996309246309,31.407212068976776
RAW,5,5,7,60.251339285712405,15.816398809520347,35.85328231292407,10.517321428570114,50.4109620538192,37.575995861638035,41.18428587236637,33.09288983658732
RAW,5,6,7,67.30230442176664,16.429047619044034,40.816003401359325,10.76255952380818,47.62120815692244,36.405745731818264,39.67498246384801,32.22487829630687
RAW,5,7,7,69.92410289115428,18.39877976190077,43.62240221088303,11.504761904760466,48.93196939115307,36.237726245308224,38.20266001838631,30.840804353709515
RAW,5,8,7,71.8282610544195,19.507113095233883,46.20954931972653,11.672053571427112,50.73753627325056,37.30183691836445,36.601440278601935,29.353115080531047
RAW,6,4,7,68.96082057822903,25.276369047614445,41.36599064625724,14.28910714285554,44.78567067852782,32.93035265438901,42.54606183965428,33.7695334544074
RAW,6,5,7,73.78013605441936,27.139047619042632,48.433954081631235,17.27410714285518,45.539159253444964,34.057504783289836,41.0737668027584,33.58461333251249
RAW,6,6,7,78.82286989795662,27.924315476185328,51.67130952380798,19.02470238095021,48.268067910925055,36.22163760315646,40.01227703488871,33.95656553219578
RAW,6,7,7,80.67535714285451,28.942172619042264,54.10408163265145,19.240059523807325,52.81864394109292,39.29132742808327,39.21997365116718,31.657481673988276
RAW,6,8,7,81.65053571428304,29.412916666661214,57.92663690476018,20.17869047618816,53.88808612022898,39.35675031355509,36.64726069393529,30.25006206936216
RAW,7,4,7,80.07501700680017,36.959702380944805,52.523073979589974,19.687053571426365,43.20586159871874,33.78680898196599,42.73045345607265,33.9409542954711
RAW,7,5,7,83.92193027210615,38.56785714284924,60.98098639455568,24.70306547618759,43.59965431394003,32.87298576650633,41.01403309452845,33.85109684899601
RAW,7,6,7,86.27255952380673,39.7552083333252,65.83218962584806,27.58616071428248,47.44081315509887,35.785122896743864,38.331066866283585,33.12132916594438
RAW,7,7,7,87.52278061224204,40.68247023808691,69.20623299319486,27.92261904761577,46.96167777800431,34.81949262695772,37.08190078877828,31.511062133811233
RAW,7,8,7,88.01981292516717,41.46514880951532,72.801088435371625,29.716011904758407,46.78751308215594,34.376106584584946,34.47684297771372,29.578937443889345
RAW,8,4,7,87.13576105441868,50.8921726190344,60.006432823126346,33.99431547618584,44.38568376068376,35.15795339288095,41.471326553563394,35.42025434882578
RAW,8,5,7,89.97792091836418,52.40101190474839,69.96113520407832,36.846904761899786,43.64965986394558,33.12153494587681,39.57746639325587,33.961735841435086
RAW,8,6,7,90.9697066326498,54.565029761890806,75.17536564625509,37.36026785713781,45.69749694749695,33.864071718666644,37.79610948783881,32.2447463424907
RAW,8,7,7,91.38755952380623,55.70809523808104,77.50122023809172,39.86505952380416,47.3415190251925,34.776927358856014,36.77784130459938,31.70252340380918
RAW,8,8,7,91.84985969387422,56.66181547617609,80.55294217686708,43.68276785713703,48.44150888793746,34.84940303959459,34.981824460553455,30.246876385200135
POS,2,4,7,24.871683673468894,6.58029761904708,10.695093537414953,1.1439880952379484,31.994116994116993,24.847740669694453,53.23110567070651,31.935910727927535
POS,2,5,7,28.570556972788545,7.891011904761257,12.154370748299309,1.2201488095236528,35.48418248418248,27.581551440352857,47.89716049589999,31.302847012931046
POS,2,6,7,32.41624149659798,8.893839285713558,13.479243197278903,1.2806845238093594,38.72719212004926,30.475496336840873,44.725237025657194,30.052542578803084
POS,2,7,7,34.880323129250996,9.472916666665892,14.825148809523808,1.3849999999998224,42.208783280211854,32.83176434076795,42.12520239531044,29.204088553064988
POS,2,8,7,37.56929421768631,10.087886904761078,15.492121598639457,1.4450892857141002,44.67034949177806,35.25892064438338,38.45573543335872,28.754864700450174
