analysis_sample,h,p,mean_coverage_kmeans,mean_coverage_efa,mean_km_efa_overlap,mean_km_efa_jaccard,mean_km_expert_jaccard,mean_efa_expert_jaccard
COMPLETE,2,4,18.65935267857106,16.29284970238071,53.86802433677433,42.817035395160396,45.026777756557166,31.721460218702866
COMPLETE,2,5,21.12988839285672,18.533340773809247,53.26307026307026,41.912876073202156,40.08213967405144,30.462565491783756
COMPLETE,2,6,24.308653273809025,20.30949404761873,56.34299728049728,45.75189426172482,37.20887908387908,29.830465587044536
COMPLETE,2,7,27.16779017857086,21.63491815476156,55.255686773543914,43.212572134863876,34.27739765394564,30.15901164784402
COMPLETE,2,8,29.982574404761273,22.775215773809165,56.788237803862806,44.61239678375964,32.97080013532219,28.601011856865185
COMPLETE,3,4,32.62021577380885,23.951421130952003,51.32395382395382,42.100153394311,42.85193054494525,33.24427206780148
COMPLETE,3,5,38.36564732142777,26.843757440475756,53.897546897546896,41.98158125432994,39.10291913968385,32.59312378797673
COMPLETE,3,6,41.97215029761817,28.7397916666662,55.60639591889591,41.01375000272059,37.20612584583173,31.368939135483252
COMPLETE,3,7,44.91677083333238,30.393005952380463,55.57510941439513,41.63015074143999,36.27291796672049,30.994304773191327
COMPLETE,3,8,47.81714285714184,32.29986607142805,55.4034247002997,41.88520842612914,34.15833043590396,30.10588114907968
COMPLETE,4,4,47.14784226190381,31.492864583332832,52.67068001443001,41.69778411326525,42.70487172141584,32.69085846751288
COMPLETE,4,5,53.79903273809415,35.016116071428016,52.18326118326118,39.02395269008373,39.14353538618245,32.68069593804888
COMPLETE,4,6,59.71049851190357,37.292068452380384,54.02596246346246,39.66210873550354,37.114359972815855,31.673397408691528
COMPLETE,4,7,63.51140624999873,40.9190029761898,54.8282967032967,41.19295440248078,36.26203095948231,31.10467030635098
COMPLETE,4,8,65.71837797618916,43.978162202380204,54.96214722777223,42.288691821272124,36.66116888035425,29.58999333999334
COMPLETE,5,4,60.79877976190336,38.43088541666617,50.7361562049062,38.101680391976444,41.96082410236822,33.446697136712615
COMPLETE,5,5,68.10421874999844,42.575907738094706,54.14953102453102,39.45478753702438,39.785539623774916,32.896875054769794
COMPLETE,5,6,73.11362351190309,45.94992559523749,54.004872442372445,40.800899539773376,38.77008476273182,31.241437512722342
COMPLETE,5,7,75.49964285714114,50.91322172618976,53.05791430791431,40.50463187667412,36.86689178493137,31.427684127263962
COMPLETE,5,8,77.21790922618872,53.374367559523044,55.0876554001554,41.61067160232698,35.51636731324231,29.40134008148714
COMPLETE,6,4,72.25842261904609,44.949188988094704,51.224747474747474,38.61736353923854,44.355445412430704,34.97533490761045
COMPLETE,6,5,77.34625744047453,51.69934523809475,52.493686868686865,39.34959362532892,40.4424337916985,33.222888051061425
COMPLETE,6,6,82.95095238095058,58.25185267857085,54.40344377844378,40.9865991851286,40.73364850019262,32.44993418174533
COMPLETE,6,7,84.08319196428388,61.81357142857081,52.693031175174035,40.64048072862468,39.12586538111748,30.9654776522313
COMPLETE,6,8,85.6960416666648,65.67821428571357,53.67117257742258,41.48996350549176,36.11125361996105,30.638502096029185
COMPLETE,7,4,81.97331101190314,58.61146577380879,49.662247474747474,38.84190768381945,42.72204205108617,33.74106285870992
COMPLETE,7,5,85.9640252976174,66.34026785714204,52.64325951825952,41.79166340195752,41.45289759260348,32.936073730191374
COMPLETE,7,6,89.68386904761729,72.1550669642848,52.106180856180856,40.56996244496244,38.9616949635332,31.362969031312684
COMPLETE,7,7,91.15448660714108,76.06480654761808,51.65776683633827,39.46354152015364,38.31565056092367,31.26896213030667
COMPLETE,7,8,91.90460565476012,79.30555059523702,51.779167013542015,39.420791970444306,35.78754910326602,29.250450111034475
COMPLETE,8,4,86.57682291666512,65.35819940476048,52.79526029526029,41.178526334776336,40.3970885603045,33.74106285870992
COMPLETE,8,5,90.99659226190319,74.61776785714139,51.98422410922411,40.26453006058269,40.54683751491027,33.253354488648604
COMPLETE,8,6,92.83669642856981,79.53709821428417,53.684324934324934,41.202878738192204,38.35920067634464,33.79006807605879
COMPLETE,8,7,93.86209077380786,83.25186011904603,53.75039642896786,41.011984047698334,37.19354055571437,31.769246160002464
COMPLETE,8,8,94.77887648809357,85.91418154761737,53.02640068265069,39.7768530354879,34.94198175566694,30.06363267150806
EUROPE,2,4,20.419851190475782,12.18186011904756,56.20142010767011,49.51046502517091,45.72607641541465,36.307324211735974
EUROPE,2,5,23.591145833332877,13.81388392857136,53.82567432567433,45.43280442467749,42.89829492403022,35.41083099906629
EUROPE,2,6,25.848958333332828,15.121688988095164,54.54748954748955,44.38850583606355,40.01422665025606,33.273906784936194
