"scenario","type","K","D","assigned_pct","unassigned_pct"
"100-9-top3","pos",1,0,54.850675,45.149325
"100-9-top3","pos",1,2,99.796475,0.203525
"100-9-top3","pos",1,4,99.996025,0.003975
"100-9-top3","pos",1,6,100,0
"100-9-top3","pos",1,8,100,0
"100-9-top3","pos",1,10,100,0
"100-9-top3","pos",2,0,85.8675375,14.1324625
"100-9-top3","pos",2,2,99.8973125,0.1026875
"100-9-top3","pos",2,4,100,0
"100-9-top3","pos",2,6,100,0
"100-9-top3","pos",2,8,100,0
"100-9-top3","pos",2,10,100,0
"100-9-top3","pos",3,0,96.0160375,3.9839625
"100-9-top3","pos",3,2,99.9707875,0.0292125
"100-9-top3","pos",3,4,100,0
"100-9-top3","pos",3,6,100,0
"100-9-top3","pos",3,8,100,0
"100-9-top3","pos",3,10,100,0
"100-9-top3","pos",4,0,97.650175,2.349825
"100-9-top3","pos",4,2,99.9781375,0.0218625
"100-9-top3","pos",4,4,100,0
"100-9-top3","pos",4,6,100,0
"100-9-top3","pos",4,8,100,0
"100-9-top3","pos",4,10,100,0
"100-9-top3","pos",5,0,98.50395,1.49605
"100-9-top3","pos",5,2,99.99465,0.00535
"100-9-top3","pos",5,4,100,0
"100-9-top3","pos",5,6,100,0
"100-9-top3","pos",5,8,100,0
"100-9-top3","pos",5,10,100,0
"100-9-top3","pos",6,0,99.0495125,0.9504875
"100-9-top3","pos",6,2,99.998,0.002
"100-9-top3","pos",6,4,100,0
"100-9-top3","pos",6,6,100,0
"100-9-top3","pos",6,8,100,0
"100-9-top3","pos",6,10,100,0
"100-9-top3","pos",7,0,99.395325,0.604675
"100-9-top3","pos",7,2,99.9990375,0.0009625
"100-9-top3","pos",7,4,100,0
"100-9-top3","pos",7,6,100,0
"100-9-top3","pos",7,8,100,0
"100-9-top3","pos",7,10,100,0
"100-9-top3","pos",8,0,99.54015,0.45985
"100-9-top3","pos",8,2,99.999775,0.000225
"100-9-top3","pos",8,4,100,0
"100-9-top3","pos",8,6,100,0
"100-9-top3","pos",8,8,100,0
"100-9-top3","pos",8,10,100,0
"100-9-top3","ext",1,0,30.682175,69.317825
"100-9-top3","ext",1,2,57.9101375,42.0898625
"100-9-top3","ext",1,4,100,0
"100-9-top3","ext",1,6,100,0
"100-9-top3","ext",1,8,100,0
"100-9-top3","ext",1,10,100,0
"100-9-top3","ext",2,0,54.74485,45.25515
"100-9-top3","ext",2,2,94.219725,5.780275
"100-9-top3","ext",2,4,100,0
"100-9-top3","ext",2,6,100,0
"100-9-top3","ext",2,8,100,0
"100-9-top3","ext",2,10,100,0
"100-9-top3","ext",3,0,64.3776625,35.6223375
"100-9-top3","ext",3,2,99.62175,0.37825
"100-9-top3","ext",3,4,100,0
"100-9-top3","ext",3,6,100,0
"100-9-top3","ext",3,8,100,0
"100-9-top3","ext",3,10,100,0
"100-9-top3","ext",4,0,72.1767,27.8233
"100-9-top3","ext",4,2,99.926325,0.073675
"100-9-top3","ext",4,4,100,0
"100-9-top3","ext",4,6,100,0
"100-9-top3","ext",4,8,100,0
"100-9-top3","ext",4,10,100,0
"100-9-top3","ext",5,0,75.2335,24.7665
"100-9-top3","ext",5,2,99.9923625,0.0076375
"100-9-top3","ext",5,4,100,0
"100-9-top3","ext",5,6,100,0
"100-9-top3","ext",5,8,100,0
"100-9-top3","ext",5,10,100,0
"100-9-top3","ext",6,0,78.27055,21.72945
"100-9-top3","ext",6,2,99.996875,0.003125
"100-9-top3","ext",6,4,100,0
"100-9-top3","ext",6,6,100,0
"100-9-top3","ext",6,8,100,0
"100-9-top3","ext",6,10,100,0
"100-9-top3","ext",7,0,81.1936375,18.8063625
"100-9-top3","ext",7,2,99.9989875,0.0010125
"100-9-top3","ext",7,4,100,0
"100-9-top3","ext",7,6,100,0
"100-9-top3","ext",7,8,100,0
"100-9-top3","ext",7,10,100,0
"100-9-top3","ext",8,0,84.045275,15.954725
"100-9-top3","ext",8,2,99.999975,2.5e-05
"100-9-top3","ext",8,4,100,0
"100-9-top3","ext",8,6,100,0
"100-9-top3","ext",8,8,100,0
"100-9-top3","ext",8,10,100,0
"10-9-top3","pos",1,0,55.4097375,44.5902625
"10-9-top3","pos",1,2,99.7627625,0.2372375
"10-9-top3","pos",1,4,99.99555,0.00445
"10-9-top3","pos",1,6,100,0
"10-9-top3","pos",1,8,100,0
