"scenario","type","reference","K","D","n_clusters","n_matched","pct_matched","mean_jaccard_exclusive"
"10-9-top3","pos","experts",8,4,3,3,100,60.5555555555556
"10-9-top3","pos","experts",8,6,1,1,100,66.6666666666667
"10-9-top3","pos","experts",8,8,1,1,100,66.6666666666667
"10-9-top3","pos","experts",8,10,1,1,100,66.6666666666667
"100-9-top3","ext","experts",1,0,1,1,100,0
"100-9-top3","ext","experts",1,2,1,1,100,0
"100-9-top3","ext","experts",1,4,1,1,100,0
"100-9-top3","ext","experts",1,6,1,1,100,0
"100-9-top3","ext","experts",1,8,1,1,100,0
"100-9-top3","ext","experts",1,10,1,1,100,0
"100-9-top3","ext","experts",2,0,2,2,100,33.3333333333333
"100-9-top3","ext","experts",2,2,2,2,100,33.3333333333333
"100-9-top3","ext","experts",2,4,1,1,100,0
"100-9-top3","ext","experts",2,6,1,1,100,0
"100-9-top3","ext","experts",2,8,1,1,100,0
"100-9-top3","ext","experts",2,10,1,1,100,0
"100-9-top3","ext","experts",3,0,3,3,100,38.8888888888889
"100-9-top3","ext","experts",3,2,3,3,100,47.2222222222222
"100-9-top3","ext","experts",3,4,1,1,100,0
"100-9-top3","ext","experts",3,6,1,1,100,0
"100-9-top3","ext","experts",3,8,1,1,100,0
"100-9-top3","ext","experts",3,10,1,1,100,0
"100-9-top3","ext","experts",4,0,4,4,100,34.1666666666667
"100-9-top3","ext","experts",4,2,4,4,100,43.75
"100-9-top3","ext","experts",4,4,1,1,100,0
"100-9-top3","ext","experts",4,6,1,1,100,0
"100-9-top3","ext","experts",4,8,1,1,100,0
"100-9-top3","ext","experts",4,10,1,1,100,0
"100-9-top3","ext","experts",5,0,5,5,100,39.3333333333333
"100-9-top3","ext","experts",5,2,5,5,100,43
"100-9-top3","ext","experts",5,4,1,1,100,0
"100-9-top3","ext","experts",5,6,1,1,100,0
"100-9-top3","ext","experts",5,8,1,1,100,0
"100-9-top3","ext","experts",5,10,1,1,100,0
"100-9-top3","ext","experts",6,0,6,6,100,38.3333333333333
"100-9-top3","ext","experts",6,2,6,6,100,48.3333333333333
"100-9-top3","ext","experts",6,4,1,1,100,0
"100-9-top3","ext","experts",6,6,1,1,100,0
"100-9-top3","ext","experts",6,8,1,1,100,0
"100-9-top3","ext","experts",6,10,1,1,100,0
"100-9-top3","ext","experts",7,0,7,7,100,46.4285714285714
