consensus_factor,id,determinants,mean_selection_frequency,mean_abs_loading
1,EFA1,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,1,0.566372488222166
2,EFA2,det_04_added_value; det_05_frugality; det_06_climate_protection; det_14_environmental_concerns; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance,0.7675,0.33313960797409825
3,EFA3,det_11_knowledge; det_12_own_competence; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_26_novelty; det_32_own_significance,0.79,0.2924657108940859
4,EFA4,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_25_agreement; det_27_fun; det_32_own_significance,0.9,0.33746990910782404
5,EFA5,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_16_commitment; det_17_adherence; det_21_rights_and_duties; det_25_agreement,0.86,0.36474957562045096
6,EFA6,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_18_autonomy,0.965,0.4448011926403483
