political_profile,target_prop,n_observed,prop_observed,difference_target_minus_observed
Left,0.1376,275,0.7180156657963447,-0.5804156657963446
Moderate,0.3416,73,0.1906005221932115,0.15099947780678852
Right,0.5208,35,0.09138381201044386,0.42941618798955616
