political_profile,mean_n,sd_n,mean_prop,sd_prop,target_prop,difference_mean_target
Left,53,0,0.13838120104438642,0,0.1376,7.812010443864204e-4
Moderate,131,0,0.34203655352480417,0,0.3416,4.3655352480415077e-4
Right,199,0,0.5195822454308094,0,0.5208,-0.0012177545691905989
