bootstrap_id,political_profile,n,prop
1,Left,53,0.13838120104438642
1,Moderate,131,0.34203655352480417
1,Right,199,0.5195822454308094
2,Left,53,0.13838120104438642
2,Moderate,131,0.34203655352480417
2,Right,199,0.5195822454308094
3,Left,53,0.13838120104438642
3,Moderate,131,0.34203655352480417
3,Right,199,0.5195822454308094
4,Left,53,0.13838120104438642
4,Moderate,131,0.34203655352480417
4,Right,199,0.5195822454308094
5,Left,53,0.13838120104438642
5,Moderate,131,0.34203655352480417
5,Right,199,0.5195822454308094
6,Left,53,0.13838120104438642
6,Moderate,131,0.34203655352480417
6,Right,199,0.5195822454308094
7,Left,53,0.13838120104438642
7,Moderate,131,0.34203655352480417
7,Right,199,0.5195822454308094
8,Left,53,0.13838120104438642
8,Moderate,131,0.34203655352480417
8,Right,199,0.5195822454308094
9,Left,53,0.13838120104438642
9,Moderate,131,0.34203655352480417
9,Right,199,0.5195822454308094
10,Left,53,0.13838120104438642
10,Moderate,131,0.34203655352480417
10,Right,199,0.5195822454308094
11,Left,53,0.13838120104438642
11,Moderate,131,0.34203655352480417
11,Right,199,0.5195822454308094
12,Left,53,0.13838120104438642
12,Moderate,131,0.34203655352480417
12,Right,199,0.5195822454308094
13,Left,53,0.13838120104438642
13,Moderate,131,0.34203655352480417
13,Right,199,0.5195822454308094
14,Left,53,0.13838120104438642
14,Moderate,131,0.34203655352480417
14,Right,199,0.5195822454308094
15,Left,53,0.13838120104438642
15,Moderate,131,0.34203655352480417
15,Right,199,0.5195822454308094
16,Left,53,0.13838120104438642
16,Moderate,131,0.34203655352480417
16,Right,199,0.5195822454308094
17,Left,53,0.13838120104438642
17,Moderate,131,0.34203655352480417
17,Right,199,0.5195822454308094
18,Left,53,0.13838120104438642
18,Moderate,131,0.34203655352480417
18,Right,199,0.5195822454308094
19,Left,53,0.13838120104438642
19,Moderate,131,0.34203655352480417
19,Right,199,0.5195822454308094
20,Left,53,0.13838120104438642
20,Moderate,131,0.34203655352480417
20,Right,199,0.5195822454308094
21,Left,53,0.13838120104438642
21,Moderate,131,0.34203655352480417
21,Right,199,0.5195822454308094
22,Left,53,0.13838120104438642
22,Moderate,131,0.34203655352480417
22,Right,199,0.5195822454308094
23,Left,53,0.13838120104438642
23,Moderate,131,0.34203655352480417
23,Right,199,0.5195822454308094
24,Left,53,0.13838120104438642
24,Moderate,131,0.34203655352480417
24,Right,199,0.5195822454308094
25,Left,53,0.13838120104438642
25,Moderate,131,0.34203655352480417
25,Right,199,0.5195822454308094
26,Left,53,0.13838120104438642
26,Moderate,131,0.34203655352480417
26,Right,199,0.5195822454308094
27,Left,53,0.13838120104438642
27,Moderate,131,0.34203655352480417
27,Right,199,0.5195822454308094
28,Left,53,0.13838120104438642
28,Moderate,131,0.34203655352480417
28,Right,199,0.5195822454308094
29,Left,53,0.13838120104438642
29,Moderate,131,0.34203655352480417
29,Right,199,0.5195822454308094
30,Left,53,0.13838120104438642
30,Moderate,131,0.34203655352480417
30,Right,199,0.5195822454308094
31,Left,53,0.13838120104438642
31,Moderate,131,0.34203655352480417
31,Right,199,0.5195822454308094
32,Left,53,0.13838120104438642
32,Moderate,131,0.34203655352480417
32,Right,199,0.5195822454308094
33,Left,53,0.13838120104438642
33,Moderate,131,0.34203655352480417
33,Right,199,0.5195822454308094
34,Left,53,0.13838120104438642
34,Moderate,131,0.34203655352480417
34,Right,199,0.5195822454308094
35,Left,53,0.13838120104438642
35,Moderate,131,0.34203655352480417
35,Right,199,0.5195822454308094
36,Left,53,0.13838120104438642
36,Moderate,131,0.34203655352480417
36,Right,199,0.5195822454308094
37,Left,53,0.13838120104438642
37,Moderate,131,0.34203655352480417
37,Right,199,0.5195822454308094
38,Left,53,0.13838120104438642
38,Moderate,131,0.34203655352480417
38,Right,199,0.5195822454308094
39,Left,53,0.13838120104438642
39,Moderate,131,0.34203655352480417
39,Right,199,0.5195822454308094
40,Left,53,0.13838120104438642
40,Moderate,131,0.34203655352480417
40,Right,199,0.5195822454308094
41,Left,53,0.13838120104438642
41,Moderate,131,0.34203655352480417
41,Right,199,0.5195822454308094
42,Left,53,0.13838120104438642
42,Moderate,131,0.34203655352480417
42,Right,199,0.5195822454308094
43,Left,53,0.13838120104438642
43,Moderate,131,0.34203655352480417
43,Right,199,0.5195822454308094
44,Left,53,0.13838120104438642
44,Moderate,131,0.34203655352480417
44,Right,199,0.5195822454308094
45,Left,53,0.13838120104438642
45,Moderate,131,0.34203655352480417
45,Right,199,0.5195822454308094
46,Left,53,0.13838120104438642
46,Moderate,131,0.34203655352480417
46,Right,199,0.5195822454308094
47,Left,53,0.13838120104438642
47,Moderate,131,0.34203655352480417
47,Right,199,0.5195822454308094
48,Left,53,0.13838120104438642
48,Moderate,131,0.34203655352480417
48,Right,199,0.5195822454308094
49,Left,53,0.13838120104438642
49,Moderate,131,0.34203655352480417
49,Right,199,0.5195822454308094
50,Left,53,0.13838120104438642
50,Moderate,131,0.34203655352480417
50,Right,199,0.5195822454308094
51,Left,53,0.13838120104438642
51,Moderate,131,0.34203655352480417
51,Right,199,0.5195822454308094
52,Left,53,0.13838120104438642
52,Moderate,131,0.34203655352480417
52,Right,199,0.5195822454308094
53,Left,53,0.13838120104438642
53,Moderate,131,0.34203655352480417
53,Right,199,0.5195822454308094
54,Left,53,0.13838120104438642
54,Moderate,131,0.34203655352480417
54,Right,199,0.5195822454308094
55,Left,53,0.13838120104438642
55,Moderate,131,0.34203655352480417
55,Right,199,0.5195822454308094
56,Left,53,0.13838120104438642
56,Moderate,131,0.34203655352480417
56,Right,199,0.5195822454308094
57,Left,53,0.13838120104438642
57,Moderate,131,0.34203655352480417
57,Right,199,0.5195822454308094
58,Left,53,0.13838120104438642
58,Moderate,131,0.34203655352480417
58,Right,199,0.5195822454308094
59,Left,53,0.13838120104438642
59,Moderate,131,0.34203655352480417
59,Right,199,0.5195822454308094
60,Left,53,0.13838120104438642
60,Moderate,131,0.34203655352480417
60,Right,199,0.5195822454308094
61,Left,53,0.13838120104438642
61,Moderate,131,0.34203655352480417
61,Right,199,0.5195822454308094
62,Left,53,0.13838120104438642
62,Moderate,131,0.34203655352480417
62,Right,199,0.5195822454308094
63,Left,53,0.13838120104438642
63,Moderate,131,0.34203655352480417
63,Right,199,0.5195822454308094
64,Left,53,0.13838120104438642
64,Moderate,131,0.34203655352480417
64,Right,199,0.5195822454308094
65,Left,53,0.13838120104438642
65,Moderate,131,0.34203655352480417
65,Right,199,0.5195822454308094
66,Left,53,0.13838120104438642
66,Moderate,131,0.34203655352480417
66,Right,199,0.5195822454308094
67,Left,53,0.13838120104438642
67,Moderate,131,0.34203655352480417
67,Right,199,0.5195822454308094
68,Left,53,0.13838120104438642
68,Moderate,131,0.34203655352480417
68,Right,199,0.5195822454308094
69,Left,53,0.13838120104438642
69,Moderate,131,0.34203655352480417
69,Right,199,0.5195822454308094
70,Left,53,0.13838120104438642
