"D","assigned_pct","unassigned_pct"
0,0.00628278830144818,99.9937172116986
1,0.119372977727515,99.8806270222725
2,0.628278830144818,99.3717211698552
3,1.88483649043445,98.1151635095655
4,4.17805422046304,95.821945779537
5,7.20321678761034,92.7967832123897
6,11.8461973423805,88.1538026576195
7,23.5290421889234,76.4709578110766
8,41.6611692269029,58.3388307730971
9,48.3617629503974,51.6382370496026
10,69.3965381836459,30.6034618163541
11,74.6238180504508,25.3761819495492
12,89.4135017120598,10.5864982879402
13,91.7821129017058,8.21788709829422
14,97.2481387239657,2.7518612760343
15,100,0
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
