"scenario","type","reference","K","D","D_order","archetypes_used","n_patterns_covered","freq_covered","pct_covered"
"100-9","pos","experts",1,0,4,"Stubborn",0,0,0
"100-9","pos","experts",1,2,4,"Stubborn",4,72537,0.9067125
"100-9","pos","experts",1,4,4,"Stubborn",21,1661894,20.773675
"100-9","pos","experts",1,6,4,"Stubborn",41,5266435,65.8304375
"100-9","pos","experts",1,8,4,"Stubborn",60,5804830,72.560375
"100-9","pos","experts",1,10,4,"Stubborn",62,8000000,100
"100-9","pos","experts",2,0,4,"Stubborn | Activist",0,0,0
"100-9","pos","experts",2,2,4,"Stubborn | Activist",4,72537,0.9067125
"100-9","pos","experts",2,4,4,"Stubborn | Activist",21,1661894,20.773675
"100-9","pos","experts",2,6,4,"Stubborn | Activist",41,5266435,65.8304375
"100-9","pos","experts",2,8,4,"Stubborn | Activist",60,5804830,72.560375
"100-9","pos","experts",2,10,4,"Stubborn | Activist",62,8000000,100
"100-9","pos","experts",3,0,4,"Stubborn | Activist | Homo.Economicus",0,0,0
"100-9","pos","experts",3,2,4,"Stubborn | Activist | Homo.Economicus",4,72537,0.9067125
"100-9","pos","experts",3,4,4,"Stubborn | Activist | Homo.Economicus",21,1661894,20.773675
"100-9","pos","experts",3,6,4,"Stubborn | Activist | Homo.Economicus",41,5266435,65.8304375
"100-9","pos","experts",3,8,4,"Stubborn | Activist | Homo.Economicus",60,5804830,72.560375
"100-9","pos","experts",3,10,4,"Stubborn | Activist | Homo.Economicus",62,8000000,100
"100-9","pos","experts",4,0,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter",0,0,0
"100-9","pos","experts",4,2,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter",4,72537,0.9067125
"100-9","pos","experts",4,4,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter",21,1661894,20.773675
"100-9","pos","experts",4,6,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter",41,5266435,65.8304375
"100-9","pos","experts",4,8,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter",60,5804830,72.560375
"100-9","pos","experts",4,10,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter",62,8000000,100
"100-9","pos","experts",5,0,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful",0,0,0
"100-9","pos","experts",5,2,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful",4,72537,0.9067125
"100-9","pos","experts",5,4,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful",21,1661894,20.773675
"100-9","pos","experts",5,6,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful",41,5266435,65.8304375
"100-9","pos","experts",5,8,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful",61,5804834,72.560425
"100-9","pos","experts",5,10,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful",62,8000000,100
"100-9","pos","experts",6,0,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer",0,0,0
"100-9","pos","experts",6,2,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer",4,72537,0.9067125
"100-9","pos","experts",6,4,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer",21,1661894,20.773675
"100-9","pos","experts",6,6,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer",42,5266436,65.83045
"100-9","pos","experts",6,8,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer",61,5804834,72.560425
"100-9","pos","experts",6,10,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer",62,8000000,100
"100-9","pos","experts",7,0,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested",0,0,0
"100-9","pos","experts",7,2,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested",4,72537,0.9067125
"100-9","pos","experts",7,4,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested",21,1661894,20.773675
"100-9","pos","experts",7,6,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested",46,5311924,66.39905
"100-9","pos","experts",7,8,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested",62,8000000,100
"100-9","pos","experts",7,10,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested",62,8000000,100
"100-9","pos","experts",8,0,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested | Careful",0,0,0
"100-9","pos","experts",8,2,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested | Careful",4,72537,0.9067125
"100-9","pos","experts",8,4,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested | Careful",21,1661894,20.773675
"100-9","pos","experts",8,6,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested | Careful",46,5311924,66.39905
"100-9","pos","experts",8,8,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested | Careful",62,8000000,100
"100-9","pos","experts",8,10,4,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested | Careful",62,8000000,100
"100-9","pos","kmeans",1,0,4,"Careful",0,0,0
"100-9","pos","kmeans",1,2,4,"Careful",0,0,0
"100-9","pos","kmeans",1,4,4,"Careful",31,5263153,65.7894125
"100-9","pos","kmeans",1,6,4,"Careful",56,5802433,72.5304125
"100-9","pos","kmeans",1,8,4,"Careful",61,7999999,99.9999875
"100-9","pos","kmeans",1,10,4,"Careful",62,8000000,100
"100-9","pos","kmeans",2,0,4,"Careful | Early.Adopter",0,0,0
"100-9","pos","kmeans",2,2,4,"Careful | Early.Adopter",0,0,0
"100-9","pos","kmeans",2,4,4,"Careful | Early.Adopter",31,5263153,65.7894125
"100-9","pos","kmeans",2,6,4,"Careful | Early.Adopter",56,5802433,72.5304125
"100-9","pos","kmeans",2,8,4,"Careful | Early.Adopter",62,8000000,100
"100-9","pos","kmeans",2,10,4,"Careful | Early.Adopter",62,8000000,100
"100-9","pos","kmeans",3,0,4,"Careful | Early.Adopter | Fearful",0,0,0
"100-9","pos","kmeans",3,2,4,"Careful | Early.Adopter | Fearful",0,0,0
"100-9","pos","kmeans",3,4,4,"Careful | Early.Adopter | Fearful",31,5263153,65.7894125
"100-9","pos","kmeans",3,6,4,"Careful | Early.Adopter | Fearful",56,5802433,72.5304125
"100-9","pos","kmeans",3,8,4,"Careful | Early.Adopter | Fearful",62,8000000,100
"100-9","pos","kmeans",3,10,4,"Careful | Early.Adopter | Fearful",62,8000000,100
"100-9","pos","kmeans",4,0,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",0,0,0
"100-9","pos","kmeans",4,2,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",0,0,0
"100-9","pos","kmeans",4,4,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",31,5263153,65.7894125
"100-9","pos","kmeans",4,6,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",56,5802433,72.5304125
"100-9","pos","kmeans",4,8,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",62,8000000,100
"100-9","pos","kmeans",4,10,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",62,8000000,100
"100-9","pos","kmeans",5,0,4,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer",0,0,0
"100-9","pos","kmeans",5,2,4,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer",0,0,0
"100-9","pos","kmeans",5,4,4,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer",31,5263153,65.7894125
"100-9","pos","kmeans",5,6,4,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer",60,5804833,72.5604125
"100-9","pos","kmeans",5,8,4,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer",62,8000000,100
"100-9","pos","kmeans",5,10,4,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer",62,8000000,100
