"cluster","expert_row","vol_cluster","cluster_dets_all","vol_expert","expert_dets_all","vol_common","common_dets","pct_cluster_covered","pct_expert_covered"
1,"Early Adopter",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",6,"KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, ADHERENCE, NOVELTY, TRENDS",4,"KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, ADHERENCE",26.6666666666667,66.6666666666667
1,"Uninterested",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",5,"LEGAL, TECHNICAL.FIT, WELLBEING, PEER.PRESSURE, AUTHORITY",3,"LEGAL, TECHNICAL.FIT, WELLBEING",20,60
1,"Homo Economicus",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",9,"PROFITS, ADDED.VALUE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",7,"LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",46.6666666666667,77.7777777777778
1,"Fearful",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",9,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, WELLBEING",9,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, WELLBEING",60,100
1,"Stubborn",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",20,100
1,"Influencer",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",3,"KNOWLEDGE, PEER.PRESSURE, SOCIALISING",1,"KNOWLEDGE",6.66666666666667,33.3333333333333
1,"Careful",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",12,"CREDIT.SCORE, RISK.PROFILE, CLIMATE.PROTECTION, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, ENVIRONMENTAL.CONCERNS, COMMITMENT, ADHERENCE, WELLBEING",11,"CREDIT.SCORE, RISK.PROFILE, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, ENVIRONMENTAL.CONCERNS, COMMITMENT, ADHERENCE, WELLBEING",73.3333333333333,91.6666666666667
1,"Activist",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",6,"TRUST, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",6,"TRUST, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",40,100
2,"Early Adopter",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",6,"KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, ADHERENCE, NOVELTY, TRENDS",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",20,50
2,"Uninterested",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",5,"LEGAL, TECHNICAL.FIT, WELLBEING, PEER.PRESSURE, AUTHORITY",2,"TECHNICAL.FIT, WELLBEING",13.3333333333333,40
