"cluster","expert_row","vol_cluster","cluster_dets_all","vol_expert","expert_dets_all","vol_common","common_dets","pct_cluster_covered","pct_expert_covered"
1,"",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",0,"",0,"",0,0
1,"Early.Adopter",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",14,"SAFETY, COST.EFFICIENCY, KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, PEER.PRESSURE, SOCIALISING, NOVELTY, FUN, TRENDS, AUTHORITY, OWN.SIGNIFICANCE",7,"SAFETY, COST.EFFICIENCY, KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",46.6666666666667,50
1,"Fearful",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",14,"CREDIT.SCORE, RISK.PROFILE, CLIMATE.PROTECTION, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, SOCIALISING, OWN.SIGNIFICANCE",11,"CREDIT.SCORE, RISK.PROFILE, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING",73.3333333333333,78.5714285714286
1,"Careful",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",15,"CREDIT.SCORE, RISK.PROFILE, CLIMATE.PROTECTION, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, WELLBEING",13,"CREDIT.SCORE, RISK.PROFILE, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING",86.6666666666667,86.6666666666667
1,"Stubborn",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",14,"CREDIT.SCORE, RISK.PROFILE, CLIMATE.PROTECTION, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, OWN.SIGNIFICANCE",12,"CREDIT.SCORE, RISK.PROFILE, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING",80,85.7142857142857
1,"Influencer",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",13,"CREDIT.SCORE, ADDED.VALUE, LEGAL, COST.EFFICIENCY, KNOWLEDGE, PEER.PRESSURE, SUPPORT, SOCIALISING, AGREEMENT, FUN, TRENDS, AUTHORITY, OWN.SIGNIFICANCE",4,"CREDIT.SCORE, LEGAL, COST.EFFICIENCY, KNOWLEDGE",26.6666666666667,30.7692307692308
1,"Uninterested",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",13,"LEGAL, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, WELLBEING, PEER.PRESSURE, SUPPORT, SOCIALISING, TRENDS, AUTHORITY, OWN.SIGNIFICANCE",7,"LEGAL, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, WELLBEING",46.6666666666667,53.8461538461538
1,"Homo.Economicus",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",14,"PROFITS, CREDIT.SCORE, RISK.PROFILE, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, SOCIALISING, FUN, TRENDS, OWN.SIGNIFICANCE",9,"CREDIT.SCORE, RISK.PROFILE, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE",60,64.2857142857143
1,"8",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",14,"LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, PEER.PRESSURE, SOCIALISING, TRENDS, OWN.SIGNIFICANCE",10,"LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",66.6666666666667,71.4285714285714
2,"",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",0,"",0,"",0,0
