"cluster","best_match","pct_match"
1,"Careful",68.75
2,"Fearful",41.1764705882353
3,"Activist",31.25
4,"Early Adopter",16.6666666666667
5,"Homo Economicus",33.3333333333333
6,"Uninterested",17.6470588235294
7,"Influencer",28.5714285714286
8,"Stubborn",16.6666666666667
