"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Careful",60,"COMPETENCE; AUTONOMY; PHYSICALNESS",3
"cluster_2","Stubborn",42.8571428571429,"FINANCIAL; SECURITY; COMPETENCE",3
