"cluster","Early.Adopter","Fearful","Careful","Stubborn","Influencer","Uninterested","Homo.Economicus","X8"
"cluster_1",25,37.5,60,42.8571428571429,11.1111111111111,37.5,22.2222222222222,25
"cluster_2",25,37.5,60,42.8571428571429,42.8571428571429,22.2222222222222,37.5,25
