"scenario","type","K","D","assigned_pct","unassigned_pct"
"100-9","pos",1,0,34.25575,65.74425
"100-9","pos",1,2,67.86945,32.13055
"100-9","pos",1,4,99.9626375,0.0373625
"100-9","pos",1,6,99.9999875,1.25e-05
"100-9","pos",1,8,100,0
"100-9","pos",1,10,100,0
"100-9","pos",2,0,61.695325,38.304675
"100-9","pos",2,2,99.053675,0.946325
"100-9","pos",2,4,99.99265,0.00735
"100-9","pos",2,6,100,0
"100-9","pos",2,8,100,0
"100-9","pos",2,10,100,0
"100-9","pos",3,0,76.6883375,23.3116625
"100-9","pos",3,2,99.96625,0.03375
"100-9","pos",3,4,100,0
"100-9","pos",3,6,100,0
"100-9","pos",3,8,100,0
"100-9","pos",3,10,100,0
"100-9","pos",4,0,84.9763625,15.0236375
"100-9","pos",4,2,99.999775,0.000225
"100-9","pos",4,4,100,0
"100-9","pos",4,6,100,0
"100-9","pos",4,8,100,0
"100-9","pos",4,10,100,0
"100-9","pos",5,0,87.6362125,12.3637875
"100-9","pos",5,2,99.9998375,0.0001625
"100-9","pos",5,4,100,0
"100-9","pos",5,6,100,0
"100-9","pos",5,8,100,0
"100-9","pos",5,10,100,0
"100-9","pos",6,0,90.1190625,9.8809375
"100-9","pos",6,2,99.9998875,0.0001125
"100-9","pos",6,4,100,0
"100-9","pos",6,6,100,0
"100-9","pos",6,8,100,0
"100-9","pos",6,10,100,0
"100-9","pos",7,0,92.4286125,7.5713875
"100-9","pos",7,2,99.999975,2.5e-05
"100-9","pos",7,4,100,0
"100-9","pos",7,6,100,0
"100-9","pos",7,8,100,0
"100-9","pos",7,10,100,0
"100-9","pos",8,0,94.3281125,5.6718875
"100-9","pos",8,2,99.9999875,1.25e-05
"100-9","pos",8,4,100,0
"100-9","pos",8,6,100,0
"100-9","pos",8,8,100,0
"100-9","pos",8,10,100,0
"100-9","ext",1,0,30.6824125,69.3175875
"100-9","ext",1,2,57.9107125,42.0892875
"100-9","ext",1,4,84.9937625,15.0062375
"100-9","ext",1,6,89.8254125,10.1745875
"100-9","ext",1,8,95.065525,4.934475
"100-9","ext",1,10,100,0
"100-9","ext",2,0,40.3157,59.6843
"100-9","ext",2,2,82.527825,17.472175
"100-9","ext",2,4,100,0
"100-9","ext",2,6,100,0
"100-9","ext",2,8,100,0
"100-9","ext",2,10,100,0
"100-9","ext",3,0,48.1148,51.8852
"100-9","ext",3,2,92.7024125,7.2975875
"100-9","ext",3,4,100,0
"100-9","ext",3,6,100,0
"100-9","ext",3,8,100,0
"100-9","ext",3,10,100,0
"100-9","ext",4,0,55.6794125,44.3205875
"100-9","ext",4,2,98.052475,1.947525
"100-9","ext",4,4,100,0
"100-9","ext",4,6,100,0
"100-9","ext",4,8,100,0
"100-9","ext",4,10,100,0
"100-9","ext",5,0,61.3713125,38.6286875
"100-9","ext",5,2,99.0917625,0.9082375
"100-9","ext",5,4,100,0
"100-9","ext",5,6,100,0
"100-9","ext",5,8,100,0
"100-9","ext",5,10,100,0
"100-9","ext",6,0,66.8601,33.1399
"100-9","ext",6,2,99.5761,0.4239
"100-9","ext",6,4,100,0
"100-9","ext",6,6,100,0
"100-9","ext",6,8,100,0
"100-9","ext",6,10,100,0
"100-9","ext",7,0,71.794575,28.205425
"100-9","ext",7,2,99.9366,0.0634
"100-9","ext",7,4,100,0
"100-9","ext",7,6,100,0
"100-9","ext",7,8,100,0
"100-9","ext",7,10,100,0
"100-9","ext",8,0,75.4459125,24.5540875
"100-9","ext",8,2,99.985925,0.014075
"100-9","ext",8,4,100,0
"100-9","ext",8,6,100,0
"100-9","ext",8,8,100,0
"100-9","ext",8,10,100,0
"10-9","pos",1,0,34.50195,65.49805
"10-9","pos",1,2,68.1081125,31.8918875
"10-9","pos",1,4,99.9640875,0.0359125
"10-9","pos",1,6,99.9999625,3.75e-05
