"cluster","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful"
"cluster_1",22.2222222222222,66.6666666666667,60,71.4285714285714,66.6666666666667,25,71.4285714285714
"cluster_2",83.3333333333333,11.1111111111111,14.2857142857143,33.3333333333333,25,66.6666666666667,33.3333333333333
