"cluster","FINANCIAL","SECURITY","COMPETENCE","AUTONOMY","PHYSICALNESS","RELATEDNESS","STIMULATION","POPULARITY","MEANING"
1,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1
