"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Homo.Economicus",3796306,47.453825
2,"Uninterested",1231276,15.39095
3,"Influencer",780896,9.7612
4,"Careful",0,0
5,"Early.Adopter",0,0
6,"Fearful",0,0
7,"Stubborn",0,0
