stage,dimension,n_mentions,percentage
La conoce / la consideraría,Seguridad financiera,240,28.776978417266186
Implementada,Seguridad financiera,206,25.653798256537986
"No la conoce, pero le genera curiosidad",Seguridad financiera,175,27.733755942947703
Implementada,Significado,161,20.049813200498132
La conoce / la consideraría,Significado,142,17.026378896882495
Implementada,Autonomía,120,14.9439601494396
La conoce / la consideraría,Autonomía,112,13.42925659472422
"No la conoce, pero le genera curiosidad",Significado,107,16.957210776545168
Implementada,Materialidad,97,12.079701120797012
La conoce / la consideraría,Seguridad,97,11.630695443645084
"No la conoce, pero le genera curiosidad",Autonomía,94,14.896988906497624
La conoce / la consideraría,Competencia,80,9.59232613908873
"No la conoce, pero le genera curiosidad",Seguridad,77,12.202852614896988
La conoce / la consideraría,Materialidad,76,9.112709832134293
"No la conoce, pero le genera curiosidad",Competencia,72,11.410459587955627
Implementada,Competencia,70,8.7173100871731
Implementada,Seguridad,63,7.84557907845579
La conoce / la consideraría,Estímulo,48,5.755395683453238
"No la conoce, pero le genera curiosidad",Materialidad,47,7.448494453248812
Implementada,Estímulo,41,5.1058530510585305
Implementada,Vinculación,30,3.7359900373599
La conoce / la consideraría,Vinculación,28,3.357314148681055
"No la conoce, pero le genera curiosidad",Estímulo,26,4.120443740095087
"No la conoce, pero le genera curiosidad",Vinculación,24,3.8034865293185423
Implementada,Popularidad,15,1.86799501867995
La conoce / la consideraría,Popularidad,11,1.3189448441247003
"No la conoce, pero le genera curiosidad",Popularidad,9,1.4263074484944533
