stage,determinant_id,determinant_label,n_mentions,mean_score,median_score
Implementada,profits,Beneficio económico,193,61.683937823834206,66
Implementada,added_value,Valor añadido,190,60.59473684210527,62.5
Implementada,frugality,Frugalidad,186,60.75806451612904,66
Implementada,credit_score_access_to_funding,Acceso a financiación,185,66.78378378378378,71
Implementada,risk_profile,Perfil de riesgo,183,67.15300546448086,70
Implementada,approval,Aprobación,150,20.593333333333334,17
Implementada,own_significance,Significado personal,146,65.5068493150685,67
Implementada,autonomy,Autosuficiencia,115,66.84347826086956,71
Implementada,commitment,Compromiso,114,73.36842105263159,74
Implementada,self_satisfaction,Satisfacción personal,113,72.19469026548673,74
Implementada,adherence,Adherencia,111,72.61261261261261,75
Implementada,wellbeing,Bienestar,95,77.62105263157895,79
Implementada,coziness,Confort,88,70.39772727272727,73
Implementada,environmental_concerns,Preocupación ambiental,69,70.07246376811594,75
Implementada,knowledge,Conocimiento,68,81.61764705882354,83.5
Implementada,technical_fit,Adecuación técnica,68,76.91176470588235,77
Implementada,cost_efficiency,Eficiencia de costes,68,72.10294117647058,74
Implementada,own_competence,Competencia propia,62,65.87096774193549,70
Implementada,trust,Confianza,61,74.14754098360656,79
Implementada,safety,Seguridad,60,75.55,80
Implementada,legal,Cumplimiento legal,58,77.94827586206897,80
Implementada,climate_protection,Protección climática,58,65.06896551724138,67.5
Implementada,recognition,Reconocimiento,39,25.051282051282055,20
Implementada,novelty,Novedad,38,55.23684210526316,59
Implementada,fun,Diversión,37,44.45945945945947,40
Implementada,support,Apoyo social,28,68.10714285714286,70.5
Implementada,peer_pressure,Presión social,28,45.142857142857146,52
Implementada,rights_and_duties,Derechos y deberes,27,73.85185185185185,76
Implementada,agreement,Acuerdo,27,66.92592592592592,75
Implementada,socialising,Socialización,25,39.2,35
Implementada,authority,Autoridad,15,51.13333333333333,39
Implementada,trends,Tendencias,13,37.38461538461539,29
La conoce / la consideraría,profits,Beneficio económico,220,58.077272727272735,62.5
La conoce / la consideraría,added_value,Valor añadido,218,62.78440366972476,65
La conoce / la consideraría,credit_score_access_to_funding,Acceso a financiación,214,65.53271028037382,70
La conoce / la consideraría,risk_profile,Perfil de riesgo,212,63.72641509433963,66.5
La conoce / la consideraría,frugality,Frugalidad,211,58.63507109004738,62
La conoce / la consideraría,approval,Aprobación,132,19.333333333333332,16
La conoce / la consideraría,own_significance,Significado personal,129,63.201550387596896,70
La conoce / la consideraría,commitment,Compromiso,108,73.89814814814815,74
La conoce / la consideraría,adherence,Adherencia,104,75.3173076923077,75
La conoce / la consideraría,self_satisfaction,Satisfacción personal,104,74.625,75
La conoce / la consideraría,autonomy,Autosuficiencia,104,64.6923076923077,71
La conoce / la consideraría,climate_protection,Protección climática,92,70.21739130434783,74.5
La conoce / la consideraría,legal,Cumplimiento legal,91,76.18681318681318,80
La conoce / la consideraría,trust,Confianza,89,76.10112359550561,79
La conoce / la consideraría,safety,Seguridad,87,77.05747126436782,80
La conoce / la consideraría,technical_fit,Adecuación técnica,77,77.57142857142857,80
La conoce / la consideraría,environmental_concerns,Preocupación ambiental,76,75.3157894736842,77
La conoce / la consideraría,knowledge,Conocimiento,73,78.56164383561644,80
La conoce / la consideraría,wellbeing,Bienestar,72,75.65277777777777,76
La conoce / la consideraría,cost_efficiency,Eficiencia de costes,72,68.20833333333334,70
La conoce / la consideraría,own_competence,Competencia propia,71,62.4225352112676,70
La conoce / la consideraría,coziness,Confort,66,67.51515151515152,69.5
La conoce / la consideraría,recognition,Reconocimiento,47,22.25531914893617,23
La conoce / la consideraría,novelty,Novedad,44,49.22727272727273,55.5
La conoce / la consideraría,fun,Diversión,40,33.65,32.5
La conoce / la consideraría,peer_pressure,Presión social,27,46.74074074074074,52
La conoce / la consideraría,agreement,Acuerdo,26,72.15384615384616,76
La conoce / la consideraría,rights_and_duties,Derechos y deberes,25,65.56,71
La conoce / la consideraría,support,Apoyo social,25,55.8,62
La conoce / la consideraría,socialising,Socialización,25,46.36,50
La conoce / la consideraría,trends,Tendencias,11,40.81818181818182,38
La conoce / la consideraría,authority,Autoridad,10,36.9,28
"No la conoce, pero le genera curiosidad",profits,Beneficio económico,166,59.5,63.5
"No la conoce, pero le genera curiosidad",added_value,Valor añadido,161,59.63354037267081,60
"No la conoce, pero le genera curiosidad",credit_score_access_to_funding,Acceso a financiación,160,67.60625000000002,71
"No la conoce, pero le genera curiosidad",frugality,Frugalidad,160,58.53749999999999,62.5
"No la conoce, pero le genera curiosidad",risk_profile,Perfil de riesgo,158,67.83544303797467,70
"No la conoce, pero le genera curiosidad",approval,Aprobación,100,23.19,20
"No la conoce, pero le genera curiosidad",own_significance,Significado personal,98,61.01020408163265,65
"No la conoce, pero le genera curiosidad",commitment,Compromiso,89,72.53932584269663,73
