stage,determinant_id,determinant_label,n_mentions,mean_score,median_score,total_mentions_stage,percentage
Unaware but curious,own_significance,Personal significance,98,61.01020408163265,65,2251,4.353620613060862
Unaware but curious,commitment,Commitment,89,72.53932584269663,73,2251,3.9537983118613953
Unaware but curious,adherence,Adherence,87,75.643678160919535,76,2251,3.8649489115948468
Unaware but curious,self_satisfaction,Self-satisfaction,85,73.34117647058824,75,2251,3.7760995113282987
Unaware but curious,autonomy,Self-sufficiency,85,64.15294117647059,69,2251,3.7760995113282987
Unaware but curious,climate_protection,Climate protection,72,66.98611111111111,70.5,2251,3.198578409595735
Unaware but curious,legal,Legal compliance,71,77.54929577464789,80,2251,3.1541537094624608
Unaware but curious,environmental_concerns,Environmental concern,71,72.94366197183099,75,2251,3.1541537094624608
Unaware but curious,safety,Safety,71,71.80281690140845,75,2251,3.1541537094624608
Unaware but curious,technical_fit,Technical fit,70,76.65714285714286,79,2251,3.109729009329187
Unaware but curious,trust,Trust,70,74.21428571428571,77.5,2251,3.109729009329187
Unaware but curious,knowledge,Knowledge,67,82.01492537313433,85,2251,2.9764549089293646
Unaware but curious,cost_efficiency,Cost efficiency,67,69.2089552238806,72,2251,2.9764549089293646
Unaware but curious,own_competence,Own competence,63,62.523809523809526,71,2251,2.798756108396268
Unaware but curious,wellbeing,Wellbeing,46,75.32608695652173,76.5,2251,2.0435362061306086
Unaware but curious,coziness,Comfort,45,66.13333333333334,70,2251,1.9991115059973346
Unaware but curious,peer_pressure,Peer pressure,23,51.78260869565217,64,2251,1.0217681030653043
Unaware but curious,novelty,Novelty,23,45.56521739130435,42,2251,1.0217681030653043
Unaware but curious,recognition,Recognition,23,15.652173913043478,10,2251,1.0217681030653043
Unaware but curious,fun,Fun,22,31.68181818181818,25,2251,0.9773434029320303
Unaware but curious,agreement,Agreement,21,78.76190476190476,80,2251,0.9329187027987561
Unaware but curious,rights_and_duties,Rights and duties,20,70.6,76,2251,0.888494002665482
Unaware but curious,support,Social support,20,64.8,65,2251,0.888494002665482
Unaware but curious,socialising,Socialising,19,40.31578947368421,35,2251,0.8440693025322079
Unaware but curious,trends,Trends,9,42.44444444444444,38,2251,0.3998223011994669
Unaware but curious,authority,Authority,9,38.888888888888886,33,2251,0.3998223011994669
