determinant,mean_ours,mean_zenodo,sd_ours,sd_zenodo,n_ours,n_zenodo,pooled_sd,cohens_d
fun,26.531914893617028,57.10900473933647,25.49266524591559,26.697170299717413,249,1899,26.560764701424027,-1.1512127075196779
agreement,66.58291457286433,43.78620326487624,25.613717709397555,26.993024881781157,249,1899,26.837249877335132,0.8494428979193056
novelty,40.120603015075375,62.54607688256978,26.298126208130846,27.260449299931636,249,1899,27.150982673929313,-0.8259544097100987
credit_score,61.10989010989012,38.67825171142709,26.440990507040052,27.28332024596124,249,1899,27.18731111458471,0.8250774894185661
support,61.593406593406584,40.66614007372302,21.60237250218761,27.605839366460884,249,1899,26.980409794782016,0.7756467258599933
climate_protection,75.75565610859728,59.75513428120061,19.33635358943735,26.069445408355676,249,1899,25.382782421272776,0.630369104609547
technical_fit,77.55825242718447,63.49394418114797,17.0085776022877,24.07227745377233,249,1899,23.365356829909427,0.6019299576042906
wellbeing,73.9009900990099,58.82043180621384,18.984154141482396,26.168757738641805,249,1899,25.4423722325769,0.5927339697312748
legal,69.63297872340426,55.43707214323326,24.22131420191716,26.19119164066432,249,1899,25.971181797851496,0.5466022567115287
frugality,51.74866310160428,38.612427593470215,25.691007920827857,27.454519789170025,249,1899,27.256553227000378,0.48194778696821033
recognition,17.668269230769234,30.463401790416,19.96036054597291,27.617859389007585,249,1899,26.84479026827657,-0.4766337316021882
rights_and_duties,69.12060301507536,58.004212743549225,23.473508120281476,25.68437309400111,249,1899,25.43869841363975,0.4369873839758145
risk_profile,59.67027027027027,48.486045286993125,24.222125001751404,25.95664274379529,249,1899,25.762163970847954,0.43413375506549196
environmental_concerns,76.81651376146789,67.33807266982626,16.878347669372044,22.487192905196412,249,1899,21.912505580159536,0.43255852494676783
coziness,65.8061224489796,54.81832543443919,20.05385475484748,26.155209929711585,249,1899,25.524756185787254,0.43047608112545466
authority,26.430107526881716,37.690889942074755,24.218999845201893,27.12661597402646,249,1899,26.80672271108616,-0.420073074077647
safety,69.07407407407408,62.17746182201162,20.16302743476062,25.121110180372195,249,1899,24.599258003806757,0.28035854784706093
own_significance,63.34170854271357,69.73407056345445,22.923540436787857,24.03118260564811,249,1899,23.905802100607172,-0.2673979310059848
adherence,72.44148936170212,77.59347024749864,17.737593597975597,19.683375694499386,249,1899,19.468454557349762,-0.26463224754794595
knowledge,78.88207547169812,73.56503422854135,17.49530091098296,21.090086243594648,249,1899,20.7065766985363,0.25678031287193
socialising,30.952127659574465,37.73038441284889,28.15888544799768,27.667184657270916,249,1899,27.72445314567366,-0.24448658076893967
approval,21.68292682926829,27.725118483412334,22.432293581202252,26.19908893927065,249,1899,25.791912705162,-0.2342669085156588
profits,45.130890052356044,38.36229594523434,27.77595777387827,29.408972097405588,249,1899,29.224918275781807,0.23160352556847785
autarky,60.41206030150754,57.1090047393365,25.633017204110885,24.844388578623214,249,1899,24.936800130661553,0.13245707327580092
cost_efficiency,63.84313725490195,66.90363349131121,23.87621818955539,24.344876375905542,249,1899,24.2911785262214,-0.12599208527925376
trends,29.46969696969697,26.30331753554502,25.169205882999233,26.38322271904917,249,1899,26.245796205754182,0.12064329880980122
self_satisfaction,71.53658536585365,73.5913638757241,20.31745308959329,21.555145275894155,249,1899,21.415768654305342,-0.09594698855029705
added_value,63.78723404255319,62.019483938915194,22.68612727898249,25.275409015338443,249,1899,24.989895917907866,0.07073859408798963
trust,75.15346534653466,74.14428646656137,18.164292040830116,22.829768910986793,249,1899,22.340455979263705,0.0451727073480508
peer_pressure,37.55172413793103,36.63770405476566,27.087519220254972,27.868204992794155,249,1899,27.77910719476958,0.032903148281794525
commitment,76.01428571428572,75.53975776724592,14.456163259520803,20.354106369357755,249,1899,19.762675701835757,0.02401132084537137
own_competence,58.94886363636364,58.37282780410743,27.896598847757904,24.55474988242716,249,1899,24.963819619025784,0.023074827532289694
