determinant,mean_ours,mean_zenodo,rank_ours,rank_zenodo,rank_diff
novelty,40.120603015075375,62.54607688256978,25,10,15
fun,26.531914893617028,57.10900473933647,29,18,11
own_significance,63.34170854271357,69.73407056345445,17,6,11
agreement,66.58291457286433,43.78620326487624,13,22,9
legal,69.63297872340426,55.43707214323326,10,19,9
climate_protection,75.75565610859728,59.75513428120061,5,13,8
adherence,72.44148936170212,77.59347024749864,8,1,7
cost_efficiency,63.84313725490195,66.90363349131121,15,8,7
own_competence,58.94886363636364,58.37282780410743,22,15,7
technical_fit,77.55825242718447,63.49394418114797,2,9,7
wellbeing,73.9009900990099,58.82043180621384,7,14,7
coziness,65.8061224489796,54.81832543443919,14,20,6
credit_score,61.10989010989012,38.67825171142709,19,24,5
rights_and_duties,69.12060301507536,58.004212743549225,11,16,5
self_satisfaction,71.53658536585365,73.5913638757241,9,4,5
support,61.593406593406584,40.66614007372302,18,23,5
added_value,63.78723404255319,62.019483938915194,16,12,4
environmental_concerns,76.81651376146789,67.33807266982626,3,7,4
knowledge,78.88207547169812,73.56503422854135,1,5,4
trends,29.46969696969697,26.30331753554502,28,32,4
autarky,60.41206030150754,57.1090047393365,20,17,3
peer_pressure,37.55172413793103,36.63770405476566,26,29,3
trust,75.15346534653466,74.14428646656137,6,3,3
authority,26.430107526881716,37.690889942074755,30,28,2
commitment,76.01428571428572,75.53975776724592,4,2,2
frugality,51.74866310160428,38.612427593470215,23,25,2
profits,45.130890052356044,38.36229594523434,24,26,2
recognition,17.668269230769234,30.463401790416,32,30,2
safety,69.07407407407408,62.17746182201162,12,11,1
approval,21.68292682926829,27.725118483412334,31,31,0
risk_profile,59.67027027027027,48.486045286993125,21,21,0
socialising,30.952127659574465,37.73038441284889,27,27,0
