"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Careful",166351,2.0793875
2,"Fearful",2229,0.0278625
3,"Stubborn",733,0.0091625
4,"Early Adopter",383,0.0047875
5,"Homo Economicus",50,0.000625
6,"Uninterested",30,0.000375
7,"Influencer",2,2.5e-05
