"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,1,0.000125
3,3,3,0.000375
4,56,5382,0.67275
5,128,6683,0.835375
6,887,69857,8.732125
7,1393,77849,9.731125
8,4858,184616,23.077
9,6164,196627,24.578375
10,12616,266099,33.262375
11,14243,284215,35.526875
12,20092,351218,43.90225
13,21578,505558,63.19475
14,24946,569068,71.1335
15,26359,619967,77.495875
16,28380,692492,86.5615
17,29498,748402,93.55025
18,30676,781276,97.6595
19,31173,794648,99.331
20,31632,798795,99.849375
