"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Activist",0,"",0
"cluster_2","Early.Adopter",50,"STIMULATION; POPULARITY",2
"cluster_3","Uninterested",20,"POPULARITY",1
"cluster_4","Stubborn",66.6666666666667,"COMPETENCE; AUTONOMY; PHYSICALNESS",3
"cluster_5","Careful",80,"SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS",4
