"cluster","n_active_dets","active_determinants"
"cluster_1",3,"COMPETENCE; AUTONOMY; PHYSICALNESS"
"cluster_2",3,"SECURITY; COMPETENCE; AUTONOMY"
"cluster_3",3,"FINANCIAL; COMPETENCE; AUTONOMY"
